rank,clip_file,vod_title,source_timestamp,end_timestamp,peak_timestamp,score,reason,status,notes
1,01-empty-plate-00-05-37.500.mp4,Empty Plate,00:05:37,00:06:08,00:05:49,710.0,"visual: face position jump, lean/zoom change, webcam motion spike",,
2,02-empty-plate-00-15-40.000.mp4,Empty Plate,00:15:40,00:16:10,00:15:52,710.0,"visual: face position jump, lean/zoom change, webcam motion spike",,
3,03-empty-plate-00-24-57.000.mp4,Empty Plate,00:24:57,00:25:27,00:25:09,710.0,"visual: face position jump, lean/zoom change, webcam motion spike",,
4,04-empty-plate-00-27-04.500.mp4,Empty Plate,00:27:04,00:27:35,00:27:16,710.0,"visual: face position jump, lean/zoom change, webcam motion spike",,
5,05-empty-plate-00-47-55.000.mp4,Empty Plate,00:47:55,00:48:25,00:48:07,710.0,"visual: face position jump, lean/zoom change, webcam motion spike",,
6,06-empty-plate-00-54-42.500.mp4,Empty Plate,00:54:42,00:55:13,00:54:54,710.0,"visual: face position jump, lean/zoom change, webcam motion spike",,
7,07-empty-plate-01-05-10.000.mp4,Empty Plate,01:05:10,01:05:40,01:05:22,710.0,"visual: face position jump, lean/zoom change, webcam motion spike",,
8,08-empty-plate-01-06-11.500.mp4,Empty Plate,01:06:11,01:06:42,01:06:23,710.0,"visual: face position jump, lean/zoom change, webcam motion spike",,
9,09-empty-plate-01-11-56.000.mp4,Empty Plate,01:11:56,01:12:26,01:12:08,710.0,"visual: face position jump, lean/zoom change, webcam motion spike",,
10,10-empty-plate-01-13-35.500.mp4,Empty Plate,01:13:35,01:14:06,01:13:47,710.0,"visual: face position jump, lean/zoom change, webcam motion spike",,
